event,sector,region,trkID,x0,y0,z0,r,phi,theta,eta,err_x0,err_y0,err_z0
10,6,1,2,1.94799459,6.528700352,-1.106054068,6.813120519,1.280831921,1.731734072,-0.1616370178,0.01171587128,0,0.4202724397
10,9,2,2,2.512542486,9.099702835,-4.324494362,9.440204523,1.301396048,2.000360218,-0.4434189061,0.009173817933,0.00441787811,0.3621211648
10,10,1,3,5.096657753,-4.366978168,-0.6406877041,6.711662877,-0.7084468989,1.665966811,-0.09531447737,0.008639014326,0.006276611239,0.4242009521
10,10,1,1,4.37388134,-4.892106056,-3.115255594,6.562281588,-0.8412675907,2.014017337,-0.4584884613,0.006995930336,0.005082841031,0.4035311341
10,10,1,-1,4.554560661,-4.760834694,-19.59392548,6.588593917,-0.8075378924,2.817213142,-1.810165571,0.006042301655,0.004389988258,0.2790280581
10,11,3,2,3.125296116,11.66688538,-3.02499795,12.07823208,1.309063828,1.816198843,-0.247903382,0.008030064404,0.002922704211,0.3419594467
10,13,2,3,7.104353905,-5.989339352,3.625581264,9.292148851,-0.7004465026,1.19878677,0.3808993714,0.00530376751,0.006650713738,0.4269270003
10,13,2,1,6.363938808,-6.91779089,0.09007242322,9.399763186,-0.8270743151,1.561214206,0.009582267451,0.006267039571,0.007858618163,0.3974513113
10,13,2,-1,6.835907459,-6.32596159,-21.33468246,9.313829547,-0.7466733489,2.72997302,-1.566542299,0.004183638375,0.005246115383,0.2413861752
10,17,3,1,8.355391502,-8.695916176,-0.5609582067,12.05949938,-0.805366099,1.617278699,-0.0464991201,0.006418391131,0.00538566988,0.3609322608
11,2,2,2,-2.923890829,-8.901607513,-4.349383354,9.369511935,-1.888161467,2.005400935,-0.4489697853,0.008225688711,0.003961282782,0.3619343936
11,2,3,2,-3.567554474,-11.5059166,-2.98875165,12.04630905,-1.871459112,1.813990834,-0.2456278053,0.007398219313,0.002692731796,0.3422410786
11,9,1,1,6.650698662,-0.6585692763,-7.90737772,6.683225732,-0.09870080703,2.439898479,-1.005152683,0.002968076617,0.009134800173,0.3649610579
11,10,1,3,3.801888704,-5.307682991,-5.758514881,6.528848019,-0.9492149029,2.293583312,-0.7954357797,0.006459643133,0.004693205468,0.382022351
11,12,2,1,9.407981873,-0.523978889,-7.054406643,9.422562114,-0.0556376614,2.213446853,-0.6920842907,0.00214451924,0.009395753033,0.3411047161
11,14,2,3,5.588881969,-7.618216038,-6.91077137,9.448429354,-0.9378605618,2.202299887,-0.6782169598,0.009019184858,0.004343410488,0.3421852291
11,17,3,3,7.21004343,-9.656977654,-4.836019039,12.05163656,-0.9294652028,1.952401257,-0.3912187578,0.005994978826,0.005030384753,0.3283489943
12,5,1,1,-3.421790361,5.583840847,-1.863743186,6.54888753,2.12057612,1.848055577,-0.2808813585,0.006942586508,0.005044084508,0.4139211178
12,7,2,1,-5.075965881,7.865222931,-3.199584961,9.360938061,2.143908655,1.900148991,-0.3354737255,0.008204552345,0.003951104358,0.3709748089
12,8,3,1,-6.766484261,10.02916718,-1.283115745,12.09832647,2.164326518,1.676458632,-0.1058594671,0.006985063199,0.005861163605,0.3553135991
12,10,1,3,4.254600048,-4.978768826,-7.491713047,6.549027454,-0.8636674722,2.423233189,-0.9795856048,0.006549804006,0.004758710973,0.3682363629
12,10,1,2,3.070631266,-5.838972569,-2.661266088,6.597149159,-1.086655374,1.954227184,-0.3931869297,0.007385687437,0.005366016179,0.4072836041
12,13,2,3,6.211964607,-7.108361244,-7.119496346,9.440196177,-0.8525922509,2.21695979,-0.6964784549,0.006156988908,0.00772061944,0.3406021595
